(epoch: 251, iters: 100400, time: 206.421) l1_x4: 14.971
(epoch: 252, iters: 100800, time: 206.092) l1_x4: 14.812
(epoch: 253, iters: 101200, time: 205.904) l1_x4: 14.735
(epoch: 254, iters: 101600, time: 205.988) l1_x4: 14.657
(epoch: 255, iters: 102000, time: 206.734) l1_x4: 14.590
(epoch: 256, iters: 102400, time: 206.408) l1_x4: 14.530
(epoch: 257, iters: 102800, time: 206.456) l1_x4: 14.485
(epoch: 258, iters: 103200, time: 206.132) l1_x4: 14.460
(epoch: 259, iters: 103600, time: 206.179) l1_x4: 14.402
(epoch: 260, iters: 104000, time: 205.947) l1_x4: 14.336
(epoch: 261, iters: 104400, time: 206.049) l1_x4: 14.306
(epoch: 262, iters: 104800, time: 205.263) l1_x4: 14.306
(epoch: 263, iters: 105200, time: 205.891) l1_x4: 14.275
(epoch: 264, iters: 105600, time: 205.379) l1_x4: 14.192
(epoch: 265, iters: 106000, time: 205.558) l1_x4: 14.183
(epoch: 266, iters: 106400, time: 205.406) l1_x4: 14.160
(epoch: 267, iters: 106800, time: 205.384) l1_x4: 14.137
(epoch: 268, iters: 107200, time: 205.157) l1_x4: 14.133
(epoch: 269, iters: 107600, time: 205.020) l1_x4: 14.081
(epoch: 270, iters: 108000, time: 206.229) l1_x4: 14.061
(epoch: 271, iters: 108400, time: 205.074) l1_x4: 14.016
(epoch: 272, iters: 108800, time: 205.132) l1_x4: 13.977
(epoch: 273, iters: 109200, time: 205.546) l1_x4: 13.948
(epoch: 274, iters: 109600, time: 205.823) l1_x4: 13.951
(epoch: 275, iters: 110000, time: 205.376) l1_x4: 13.959
(epoch: 276, iters: 110400, time: 205.238) l1_x4: 13.922
(epoch: 277, iters: 110800, time: 205.407) l1_x4: 13.895
(epoch: 278, iters: 111200, time: 205.505) l1_x4: 13.863
(epoch: 279, iters: 111600, time: 205.724) l1_x4: 13.838
(epoch: 280, iters: 112000, time: 205.254) l1_x4: 13.829
(epoch: 281, iters: 112400, time: 205.461) l1_x4: 13.783
(epoch: 282, iters: 112800, time: 205.526) l1_x4: 13.771
(epoch: 283, iters: 113200, time: 205.251) l1_x4: 13.740
(epoch: 284, iters: 113600, time: 205.238) l1_x4: 13.725
(epoch: 285, iters: 114000, time: 204.993) l1_x4: 13.735
(epoch: 286, iters: 114400, time: 205.049) l1_x4: 13.692
(epoch: 287, iters: 114800, time: 205.714) l1_x4: 13.676
(epoch: 288, iters: 115200, time: 205.839) l1_x4: 13.646
(epoch: 289, iters: 115600, time: 206.065) l1_x4: 13.647
(epoch: 290, iters: 116000, time: 206.750) l1_x4: 13.619
(epoch: 291, iters: 116400, time: 206.588) l1_x4: 13.576
(epoch: 292, iters: 116800, time: 205.773) l1_x4: 13.614
(epoch: 293, iters: 117200, time: 205.442) l1_x4: 13.591
(epoch: 294, iters: 117600, time: 205.539) l1_x4: 13.532
(epoch: 295, iters: 118000, time: 205.732) l1_x4: 13.523
(epoch: 296, iters: 118400, time: 205.243) l1_x4: 13.506
(epoch: 297, iters: 118800, time: 204.839) l1_x4: 13.535
(epoch: 298, iters: 119200, time: 204.992) l1_x4: 13.490
(epoch: 299, iters: 119600, time: 204.680) l1_x4: 13.477
(epoch: 300, iters: 120000, time: 204.729) l1_x4: 13.483
