(epoch: 251, iters: 100400, time: 124.071) l1_x8: 21.447
(epoch: 252, iters: 100800, time: 127.235) l1_x8: 21.281
(epoch: 253, iters: 101200, time: 126.847) l1_x8: 21.095
(epoch: 254, iters: 101600, time: 127.040) l1_x8: 20.971
(epoch: 255, iters: 102000, time: 126.839) l1_x8: 20.910
(epoch: 256, iters: 102400, time: 126.743) l1_x8: 20.815
(epoch: 257, iters: 102800, time: 126.722) l1_x8: 20.746
(epoch: 258, iters: 103200, time: 126.975) l1_x8: 20.632
(epoch: 259, iters: 103600, time: 126.627) l1_x8: 20.567
(epoch: 260, iters: 104000, time: 126.521) l1_x8: 20.499
(epoch: 261, iters: 104400, time: 126.996) l1_x8: 20.440
(epoch: 262, iters: 104800, time: 126.838) l1_x8: 20.370
(epoch: 263, iters: 105200, time: 126.659) l1_x8: 20.304
(epoch: 264, iters: 105600, time: 126.586) l1_x8: 20.206
(epoch: 265, iters: 106000, time: 127.360) l1_x8: 20.222
(epoch: 266, iters: 106400, time: 127.550) l1_x8: 20.159
(epoch: 267, iters: 106800, time: 126.644) l1_x8: 20.113
(epoch: 268, iters: 107200, time: 126.688) l1_x8: 20.042
(epoch: 269, iters: 107600, time: 128.821) l1_x8: 19.990
(epoch: 270, iters: 108000, time: 128.456) l1_x8: 19.991
(epoch: 271, iters: 108400, time: 128.873) l1_x8: 19.960
(epoch: 272, iters: 108800, time: 127.286) l1_x8: 19.912
(epoch: 273, iters: 109200, time: 129.128) l1_x8: 19.873
(epoch: 274, iters: 109600, time: 129.270) l1_x8: 19.812
(epoch: 275, iters: 110000, time: 128.728) l1_x8: 19.771
(epoch: 276, iters: 110400, time: 129.602) l1_x8: 19.773
(epoch: 277, iters: 110800, time: 128.112) l1_x8: 19.726
(epoch: 278, iters: 111200, time: 127.854) l1_x8: 19.632
(epoch: 279, iters: 111600, time: 127.210) l1_x8: 19.638
(epoch: 280, iters: 112000, time: 126.908) l1_x8: 19.613
(epoch: 281, iters: 112400, time: 126.936) l1_x8: 19.584
(epoch: 282, iters: 112800, time: 126.795) l1_x8: 19.570
(epoch: 283, iters: 113200, time: 126.759) l1_x8: 19.488
(epoch: 284, iters: 113600, time: 126.907) l1_x8: 19.439
(epoch: 285, iters: 114000, time: 126.993) l1_x8: 19.452
(epoch: 286, iters: 114400, time: 126.998) l1_x8: 19.418
(epoch: 287, iters: 114800, time: 127.012) l1_x8: 19.383
(epoch: 288, iters: 115200, time: 126.825) l1_x8: 19.400
(epoch: 289, iters: 115600, time: 126.699) l1_x8: 19.309
(epoch: 290, iters: 116000, time: 126.790) l1_x8: 19.344
(epoch: 291, iters: 116400, time: 126.793) l1_x8: 19.304
(epoch: 292, iters: 116800, time: 126.587) l1_x8: 19.203
(epoch: 293, iters: 117200, time: 126.687) l1_x8: 19.245
(epoch: 294, iters: 117600, time: 126.410) l1_x8: 19.208
(epoch: 295, iters: 118000, time: 127.410) l1_x8: 19.188
(epoch: 296, iters: 118400, time: 128.779) l1_x8: 19.108
(epoch: 297, iters: 118800, time: 130.078) l1_x8: 19.166
(epoch: 298, iters: 119200, time: 128.669) l1_x8: 19.082
(epoch: 299, iters: 119600, time: 128.147) l1_x8: 19.023
(epoch: 300, iters: 120000, time: 127.197) l1_x8: 19.027
