(epoch: 251, iters: 100400, time: 68.121) l1_x4: 14.159
(epoch: 252, iters: 100800, time: 69.966) l1_x4: 14.042
(epoch: 253, iters: 101200, time: 71.480) l1_x4: 13.955
(epoch: 254, iters: 101600, time: 71.315) l1_x4: 13.868
(epoch: 255, iters: 102000, time: 73.543) l1_x4: 13.846
(epoch: 256, iters: 102400, time: 80.200) l1_x4: 13.764
(epoch: 257, iters: 102800, time: 73.093) l1_x4: 13.743
(epoch: 258, iters: 103200, time: 78.196) l1_x4: 13.687
(epoch: 259, iters: 103600, time: 98.717) l1_x4: 13.661
(epoch: 260, iters: 104000, time: 74.894) l1_x4: 13.651
(epoch: 261, iters: 104400, time: 75.417) l1_x4: 13.553
(epoch: 262, iters: 104800, time: 73.942) l1_x4: 13.499
(epoch: 263, iters: 105200, time: 79.020) l1_x4: 13.532
(epoch: 264, iters: 105600, time: 79.362) l1_x4: 13.504
(epoch: 265, iters: 106000, time: 79.143) l1_x4: 13.433
(epoch: 266, iters: 106400, time: 78.559) l1_x4: 13.369
(epoch: 267, iters: 106800, time: 73.621) l1_x4: 13.393
(epoch: 268, iters: 107200, time: 73.941) l1_x4: 13.326
(epoch: 269, iters: 107600, time: 74.961) l1_x4: 13.303
(epoch: 270, iters: 108000, time: 83.411) l1_x4: 13.277
(epoch: 271, iters: 108400, time: 73.672) l1_x4: 13.252
(epoch: 272, iters: 108800, time: 72.505) l1_x4: 13.217
(epoch: 273, iters: 109200, time: 72.094) l1_x4: 13.182
(epoch: 274, iters: 109600, time: 72.163) l1_x4: 13.169
(epoch: 275, iters: 110000, time: 72.374) l1_x4: 13.139
(epoch: 276, iters: 110400, time: 72.933) l1_x4: 13.091
(epoch: 277, iters: 110800, time: 72.355) l1_x4: 13.079
(epoch: 278, iters: 111200, time: 72.743) l1_x4: 13.038
(epoch: 279, iters: 111600, time: 72.894) l1_x4: 13.062
(epoch: 280, iters: 112000, time: 71.878) l1_x4: 13.004
(epoch: 281, iters: 112400, time: 73.142) l1_x4: 13.018
(epoch: 282, iters: 112800, time: 72.413) l1_x4: 13.002
(epoch: 283, iters: 113200, time: 72.217) l1_x4: 12.949
(epoch: 284, iters: 113600, time: 72.007) l1_x4: 12.928
(epoch: 285, iters: 114000, time: 72.173) l1_x4: 12.910
(epoch: 286, iters: 114400, time: 72.106) l1_x4: 12.915
(epoch: 287, iters: 114800, time: 72.445) l1_x4: 12.854
(epoch: 288, iters: 115200, time: 71.630) l1_x4: 12.840
(epoch: 289, iters: 115600, time: 71.471) l1_x4: 12.819
(epoch: 290, iters: 116000, time: 71.136) l1_x4: 12.826
(epoch: 291, iters: 116400, time: 71.335) l1_x4: 12.811
(epoch: 292, iters: 116800, time: 71.276) l1_x4: 12.729
(epoch: 293, iters: 117200, time: 71.479) l1_x4: 12.776
(epoch: 294, iters: 117600, time: 71.617) l1_x4: 12.726
(epoch: 295, iters: 118000, time: 71.381) l1_x4: 12.710
(epoch: 296, iters: 118400, time: 71.337) l1_x4: 12.684
(epoch: 297, iters: 118800, time: 71.328) l1_x4: 12.672
(epoch: 298, iters: 119200, time: 71.260) l1_x4: 12.644
(epoch: 299, iters: 119600, time: 71.282) l1_x4: 12.657
(epoch: 300, iters: 120000, time: 71.388) l1_x4: 12.614
