(epoch: 251, iters: 100400, time: 693.629) l1_x8: 6.543
(epoch: 252, iters: 100800, time: 694.603) l1_x8: 6.519
(epoch: 253, iters: 101200, time: 692.853) l1_x8: 6.536
(epoch: 254, iters: 101600, time: 692.525) l1_x8: 6.525
(epoch: 255, iters: 102000, time: 692.325) l1_x8: 6.536
(epoch: 256, iters: 102400, time: 692.677) l1_x8: 6.510
(epoch: 257, iters: 102800, time: 692.797) l1_x8: 6.510
(epoch: 258, iters: 103200, time: 692.589) l1_x8: 6.478
(epoch: 259, iters: 103600, time: 692.965) l1_x8: 6.525
(epoch: 260, iters: 104000, time: 692.672) l1_x8: 6.500
(epoch: 261, iters: 104400, time: 693.281) l1_x8: 6.481
(epoch: 262, iters: 104800, time: 693.609) l1_x8: 6.484
(epoch: 263, iters: 105200, time: 692.728) l1_x8: 6.472
(epoch: 264, iters: 105600, time: 692.551) l1_x8: 6.460
(epoch: 265, iters: 106000, time: 693.531) l1_x8: 6.466
(epoch: 266, iters: 106400, time: 693.896) l1_x8: 6.455
(epoch: 267, iters: 106800, time: 693.518) l1_x8: 6.440
(epoch: 268, iters: 107200, time: 693.988) l1_x8: 6.429
(epoch: 269, iters: 107600, time: 693.986) l1_x8: 6.414
(epoch: 270, iters: 108000, time: 693.443) l1_x8: 6.441
(epoch: 271, iters: 108400, time: 692.718) l1_x8: 6.456
(epoch: 272, iters: 108800, time: 692.682) l1_x8: 6.420
(epoch: 273, iters: 109200, time: 692.749) l1_x8: 6.432
(epoch: 274, iters: 109600, time: 692.970) l1_x8: 6.427
(epoch: 275, iters: 110000, time: 692.936) l1_x8: 6.435
(epoch: 276, iters: 110400, time: 693.042) l1_x8: 6.418
(epoch: 277, iters: 110800, time: 693.613) l1_x8: 6.406
(epoch: 278, iters: 111200, time: 693.398) l1_x8: 6.395
(epoch: 279, iters: 111600, time: 693.374) l1_x8: 6.396
(epoch: 280, iters: 112000, time: 693.074) l1_x8: 6.422
(epoch: 281, iters: 112400, time: 692.716) l1_x8: 6.376
(epoch: 282, iters: 112800, time: 693.738) l1_x8: 6.409
(epoch: 283, iters: 113200, time: 693.139) l1_x8: 6.384
(epoch: 284, iters: 113600, time: 693.450) l1_x8: 6.413
(epoch: 285, iters: 114000, time: 693.280) l1_x8: 6.373
(epoch: 286, iters: 114400, time: 692.856) l1_x8: 6.368
(epoch: 287, iters: 114800, time: 692.704) l1_x8: 6.390
(epoch: 288, iters: 115200, time: 693.046) l1_x8: 6.362
(epoch: 289, iters: 115600, time: 694.739) l1_x8: 6.392
(epoch: 290, iters: 116000, time: 694.432) l1_x8: 6.371
(epoch: 291, iters: 116400, time: 694.117) l1_x8: 6.387
(epoch: 292, iters: 116800, time: 693.736) l1_x8: 6.371
(epoch: 293, iters: 117200, time: 692.777) l1_x8: 6.372
(epoch: 294, iters: 117600, time: 693.842) l1_x8: 6.362
(epoch: 295, iters: 118000, time: 693.629) l1_x8: 6.356
(epoch: 296, iters: 118400, time: 693.638) l1_x8: 6.359
(epoch: 297, iters: 118800, time: 693.257) l1_x8: 6.386
(epoch: 298, iters: 119200, time: 693.605) l1_x8: 6.371
(epoch: 299, iters: 119600, time: 693.679) l1_x8: 6.347
(epoch: 300, iters: 120000, time: 693.988) l1_x8: 6.344
