(epoch: 251, iters: 100400, time: 201.796) l1_x4: 9.372
(epoch: 252, iters: 100800, time: 205.476) l1_x4: 9.269
(epoch: 253, iters: 101200, time: 205.279) l1_x4: 9.227
(epoch: 254, iters: 101600, time: 205.131) l1_x4: 9.156
(epoch: 255, iters: 102000, time: 205.243) l1_x4: 9.145
(epoch: 256, iters: 102400, time: 205.386) l1_x4: 9.105
(epoch: 257, iters: 102800, time: 205.094) l1_x4: 9.081
(epoch: 258, iters: 103200, time: 205.509) l1_x4: 9.013
(epoch: 259, iters: 103600, time: 205.505) l1_x4: 8.995
(epoch: 260, iters: 104000, time: 205.531) l1_x4: 8.958
(epoch: 261, iters: 104400, time: 206.070) l1_x4: 8.937
(epoch: 262, iters: 104800, time: 206.104) l1_x4: 8.941
(epoch: 263, iters: 105200, time: 205.779) l1_x4: 8.899
(epoch: 264, iters: 105600, time: 205.116) l1_x4: 8.873
(epoch: 265, iters: 106000, time: 205.525) l1_x4: 8.845
(epoch: 266, iters: 106400, time: 205.843) l1_x4: 8.833
(epoch: 267, iters: 106800, time: 205.160) l1_x4: 8.817
(epoch: 268, iters: 107200, time: 205.085) l1_x4: 8.799
(epoch: 269, iters: 107600, time: 205.127) l1_x4: 8.767
(epoch: 270, iters: 108000, time: 206.465) l1_x4: 8.764
(epoch: 271, iters: 108400, time: 205.026) l1_x4: 8.726
(epoch: 272, iters: 108800, time: 204.969) l1_x4: 8.721
(epoch: 273, iters: 109200, time: 205.045) l1_x4: 8.692
(epoch: 274, iters: 109600, time: 205.144) l1_x4: 8.675
(epoch: 275, iters: 110000, time: 205.013) l1_x4: 8.663
(epoch: 276, iters: 110400, time: 205.101) l1_x4: 8.648
(epoch: 277, iters: 110800, time: 204.984) l1_x4: 8.644
(epoch: 278, iters: 111200, time: 205.249) l1_x4: 8.626
(epoch: 279, iters: 111600, time: 205.556) l1_x4: 8.606
(epoch: 280, iters: 112000, time: 206.412) l1_x4: 8.578
(epoch: 281, iters: 112400, time: 206.124) l1_x4: 8.553
(epoch: 282, iters: 112800, time: 206.231) l1_x4: 8.550
(epoch: 283, iters: 113200, time: 206.795) l1_x4: 8.535
(epoch: 284, iters: 113600, time: 206.494) l1_x4: 8.548
(epoch: 285, iters: 114000, time: 206.599) l1_x4: 8.531
(epoch: 286, iters: 114400, time: 207.048) l1_x4: 8.515
(epoch: 287, iters: 114800, time: 206.663) l1_x4: 8.494
(epoch: 288, iters: 115200, time: 206.963) l1_x4: 8.494
(epoch: 289, iters: 115600, time: 206.745) l1_x4: 8.460
(epoch: 290, iters: 116000, time: 206.310) l1_x4: 8.459
(epoch: 291, iters: 116400, time: 206.253) l1_x4: 8.466
(epoch: 292, iters: 116800, time: 206.844) l1_x4: 8.450
(epoch: 293, iters: 117200, time: 206.675) l1_x4: 8.434
(epoch: 294, iters: 117600, time: 206.318) l1_x4: 8.405
(epoch: 295, iters: 118000, time: 206.191) l1_x4: 8.402
(epoch: 296, iters: 118400, time: 206.178) l1_x4: 8.382
(epoch: 297, iters: 118800, time: 206.048) l1_x4: 8.395
(epoch: 298, iters: 119200, time: 206.061) l1_x4: 8.376
(epoch: 299, iters: 119600, time: 206.587) l1_x4: 8.363
(epoch: 300, iters: 120000, time: 206.359) l1_x4: 8.367
