(epoch: 251, iters: 100400, time: 833.630) l1_x4: 5.931
(epoch: 252, iters: 100800, time: 840.056) l1_x4: 5.904
(epoch: 253, iters: 101200, time: 840.035) l1_x4: 5.862
(epoch: 254, iters: 101600, time: 840.436) l1_x4: 5.871
(epoch: 255, iters: 102000, time: 839.739) l1_x4: 5.855
(epoch: 256, iters: 102400, time: 840.874) l1_x4: 5.837
(epoch: 257, iters: 102800, time: 840.186) l1_x4: 5.848
(epoch: 258, iters: 103200, time: 839.777) l1_x4: 5.800
(epoch: 259, iters: 103600, time: 840.137) l1_x4: 5.807
(epoch: 260, iters: 104000, time: 840.097) l1_x4: 5.788
(epoch: 261, iters: 104400, time: 840.055) l1_x4: 5.777
(epoch: 262, iters: 104800, time: 840.824) l1_x4: 5.770
(epoch: 263, iters: 105200, time: 840.271) l1_x4: 5.774
(epoch: 264, iters: 105600, time: 839.971) l1_x4: 5.759
(epoch: 265, iters: 106000, time: 839.566) l1_x4: 5.749
(epoch: 266, iters: 106400, time: 839.956) l1_x4: 5.741
(epoch: 267, iters: 106800, time: 839.542) l1_x4: 5.745
(epoch: 268, iters: 107200, time: 839.666) l1_x4: 5.716
(epoch: 269, iters: 107600, time: 839.392) l1_x4: 5.732
(epoch: 270, iters: 108000, time: 840.956) l1_x4: 5.725
(epoch: 271, iters: 108400, time: 838.935) l1_x4: 5.710
(epoch: 272, iters: 108800, time: 839.651) l1_x4: 5.697
(epoch: 273, iters: 109200, time: 840.163) l1_x4: 5.702
(epoch: 274, iters: 109600, time: 840.200) l1_x4: 5.710
(epoch: 275, iters: 110000, time: 839.591) l1_x4: 5.699
(epoch: 276, iters: 110400, time: 840.594) l1_x4: 5.699
(epoch: 277, iters: 110800, time: 839.685) l1_x4: 5.672
(epoch: 278, iters: 111200, time: 839.818) l1_x4: 5.672
(epoch: 279, iters: 111600, time: 839.379) l1_x4: 5.661
(epoch: 280, iters: 112000, time: 840.096) l1_x4: 5.660
(epoch: 281, iters: 112400, time: 839.366) l1_x4: 5.660
(epoch: 282, iters: 112800, time: 839.812) l1_x4: 5.664
(epoch: 283, iters: 113200, time: 839.521) l1_x4: 5.646
(epoch: 284, iters: 113600, time: 839.849) l1_x4: 5.631
(epoch: 285, iters: 114000, time: 839.814) l1_x4: 5.645
(epoch: 286, iters: 114400, time: 839.981) l1_x4: 5.638
(epoch: 287, iters: 114800, time: 839.882) l1_x4: 5.638
(epoch: 288, iters: 115200, time: 840.305) l1_x4: 5.621
(epoch: 289, iters: 115600, time: 840.219) l1_x4: 5.625
(epoch: 290, iters: 116000, time: 840.151) l1_x4: 5.624
(epoch: 291, iters: 116400, time: 840.226) l1_x4: 5.614
(epoch: 292, iters: 116800, time: 840.124) l1_x4: 5.631
(epoch: 293, iters: 117200, time: 840.290) l1_x4: 5.610
(epoch: 294, iters: 117600, time: 839.611) l1_x4: 5.607
(epoch: 295, iters: 118000, time: 840.777) l1_x4: 5.600
(epoch: 296, iters: 118400, time: 840.118) l1_x4: 5.599
(epoch: 297, iters: 118800, time: 840.132) l1_x4: 5.614
(epoch: 298, iters: 119200, time: 840.740) l1_x4: 5.588
(epoch: 299, iters: 119600, time: 839.981) l1_x4: 5.605
(epoch: 300, iters: 120000, time: 839.540) l1_x4: 5.597
