(epoch: 251, iters: 100400, time: 844.515) l1_x4: 9.062
(epoch: 252, iters: 100800, time: 851.140) l1_x4: 8.990
(epoch: 253, iters: 101200, time: 850.450) l1_x4: 8.900
(epoch: 254, iters: 101600, time: 849.999) l1_x4: 8.962
(epoch: 255, iters: 102000, time: 850.148) l1_x4: 8.921
(epoch: 256, iters: 102400, time: 851.042) l1_x4: 8.957
(epoch: 257, iters: 102800, time: 851.305) l1_x4: 8.865
(epoch: 258, iters: 103200, time: 850.335) l1_x4: 8.934
(epoch: 259, iters: 103600, time: 850.649) l1_x4: 8.894
(epoch: 260, iters: 104000, time: 850.520) l1_x4: 8.872
(epoch: 261, iters: 104400, time: 850.208) l1_x4: 8.918
(epoch: 262, iters: 104800, time: 851.006) l1_x4: 8.901
(epoch: 263, iters: 105200, time: 850.960) l1_x4: 8.902
(epoch: 264, iters: 105600, time: 850.962) l1_x4: 8.810
(epoch: 265, iters: 106000, time: 850.613) l1_x4: 8.809
(epoch: 266, iters: 106400, time: 851.395) l1_x4: 8.823
(epoch: 267, iters: 106800, time: 851.529) l1_x4: 8.816
(epoch: 268, iters: 107200, time: 851.614) l1_x4: 8.812
(epoch: 269, iters: 107600, time: 851.093) l1_x4: 8.826
(epoch: 270, iters: 108000, time: 851.761) l1_x4: 8.824
(epoch: 271, iters: 108400, time: 850.789) l1_x4: 8.792
(epoch: 272, iters: 108800, time: 851.331) l1_x4: 8.777
(epoch: 273, iters: 109200, time: 851.177) l1_x4: 8.831
(epoch: 274, iters: 109600, time: 850.756) l1_x4: 8.823
(epoch: 275, iters: 110000, time: 851.563) l1_x4: 8.815
2020-02-19 15:34:09: saving the model at the end of epoch 275, iters 110000
(epoch: 276, iters: 110400, time: 851.454) l1_x4: 8.769
(epoch: 277, iters: 110800, time: 850.347) l1_x4: 8.798
(epoch: 278, iters: 111200, time: 850.527) l1_x4: 8.820
(epoch: 279, iters: 111600, time: 850.456) l1_x4: 8.795
(epoch: 280, iters: 112000, time: 850.592) l1_x4: 8.749
(epoch: 281, iters: 112400, time: 850.481) l1_x4: 8.748
(epoch: 282, iters: 112800, time: 851.180) l1_x4: 8.766
(epoch: 283, iters: 113200, time: 851.474) l1_x4: 8.760
(epoch: 284, iters: 113600, time: 850.972) l1_x4: 8.777
(epoch: 285, iters: 114000, time: 849.295) l1_x4: 8.783
(epoch: 286, iters: 114400, time: 849.745) l1_x4: 8.742
(epoch: 287, iters: 114800, time: 850.983) l1_x4: 8.724
(epoch: 288, iters: 115200, time: 850.594) l1_x4: 8.731
(epoch: 289, iters: 115600, time: 850.985) l1_x4: 8.695
(epoch: 290, iters: 116000, time: 850.820) l1_x4: 8.694
(epoch: 291, iters: 116400, time: 851.166) l1_x4: 8.764
(epoch: 292, iters: 116800, time: 851.098) l1_x4: 8.756
(epoch: 293, iters: 117200, time: 851.528) l1_x4: 8.760
(epoch: 294, iters: 117600, time: 851.435) l1_x4: 8.783
(epoch: 295, iters: 118000, time: 851.566) l1_x4: 8.717
(epoch: 296, iters: 118400, time: 852.262) l1_x4: 8.750
(epoch: 297, iters: 118800, time: 851.965) l1_x4: 8.745
(epoch: 298, iters: 119200, time: 850.956) l1_x4: 8.740
(epoch: 299, iters: 119600, time: 851.340) l1_x4: 8.750
(epoch: 300, iters: 120000, time: 851.132) l1_x4: 8.725
