(epoch: 251, iters: 100400, time: 835.249) l1_x4: 10.735
(epoch: 252, iters: 100800, time: 861.977) l1_x4: 10.694
(epoch: 253, iters: 101200, time: 843.854) l1_x4: 10.660
(epoch: 254, iters: 101600, time: 840.273) l1_x4: 10.647
(epoch: 255, iters: 102000, time: 840.639) l1_x4: 10.639
(epoch: 256, iters: 102400, time: 840.013) l1_x4: 10.590
(epoch: 257, iters: 102800, time: 839.139) l1_x4: 10.600
(epoch: 258, iters: 103200, time: 839.613) l1_x4: 10.575
(epoch: 259, iters: 103600, time: 840.214) l1_x4: 10.585
(epoch: 260, iters: 104000, time: 840.042) l1_x4: 10.566
(epoch: 261, iters: 104400, time: 840.770) l1_x4: 10.514
(epoch: 262, iters: 104800, time: 840.193) l1_x4: 10.527
(epoch: 263, iters: 105200, time: 840.735) l1_x4: 10.534
(epoch: 264, iters: 105600, time: 840.417) l1_x4: 10.483
(epoch: 265, iters: 106000, time: 839.840) l1_x4: 10.487
(epoch: 266, iters: 106400, time: 840.504) l1_x4: 10.506
(epoch: 267, iters: 106800, time: 839.433) l1_x4: 10.499
(epoch: 268, iters: 107200, time: 839.921) l1_x4: 10.480
(epoch: 269, iters: 107600, time: 839.762) l1_x4: 10.481
(epoch: 270, iters: 108000, time: 849.844) l1_x4: 10.455
(epoch: 271, iters: 108400, time: 839.448) l1_x4: 10.438
(epoch: 272, iters: 108800, time: 840.135) l1_x4: 10.430
(epoch: 273, iters: 109200, time: 840.018) l1_x4: 10.426
(epoch: 274, iters: 109600, time: 839.754) l1_x4: 10.436
(epoch: 275, iters: 110000, time: 839.931) l1_x4: 10.436
(epoch: 276, iters: 110400, time: 839.820) l1_x4: 10.401
(epoch: 277, iters: 110800, time: 839.655) l1_x4: 10.399
(epoch: 278, iters: 111200, time: 839.491) l1_x4: 10.395
(epoch: 279, iters: 111600, time: 839.688) l1_x4: 10.370
(epoch: 280, iters: 112000, time: 839.671) l1_x4: 10.388
(epoch: 281, iters: 112400, time: 839.190) l1_x4: 10.362
(epoch: 282, iters: 112800, time: 839.543) l1_x4: 10.358
(epoch: 283, iters: 113200, time: 839.831) l1_x4: 10.364
(epoch: 284, iters: 113600, time: 840.567) l1_x4: 10.371
(epoch: 285, iters: 114000, time: 839.712) l1_x4: 10.348
(epoch: 286, iters: 114400, time: 840.301) l1_x4: 10.331
(epoch: 287, iters: 114800, time: 840.072) l1_x4: 10.339
(epoch: 288, iters: 115200, time: 839.379) l1_x4: 10.320
(epoch: 289, iters: 115600, time: 840.217) l1_x4: 10.328
(epoch: 290, iters: 116000, time: 839.741) l1_x4: 10.322
(epoch: 291, iters: 116400, time: 839.762) l1_x4: 10.317
(epoch: 292, iters: 116800, time: 839.480) l1_x4: 10.299
(epoch: 293, iters: 117200, time: 839.688) l1_x4: 10.283
(epoch: 294, iters: 117600, time: 839.990) l1_x4: 10.297
(epoch: 295, iters: 118000, time: 840.790) l1_x4: 10.304
(epoch: 296, iters: 118400, time: 840.163) l1_x4: 10.277
(epoch: 297, iters: 118800, time: 840.210) l1_x4: 10.281
(epoch: 298, iters: 119200, time: 839.308) l1_x4: 10.297
(epoch: 299, iters: 119600, time: 840.058) l1_x4: 10.290
(epoch: 300, iters: 120000, time: 840.624) l1_x4: 10.266
