(epoch: 251, iters: 100400, time: 693.707) l1_x8: 12.481
(epoch: 252, iters: 100800, time: 694.489) l1_x8: 12.530
(epoch: 253, iters: 101200, time: 694.360) l1_x8: 12.411
(epoch: 254, iters: 101600, time: 692.963) l1_x8: 12.411
(epoch: 255, iters: 102000, time: 692.452) l1_x8: 12.376
(epoch: 256, iters: 102400, time: 692.284) l1_x8: 12.419
(epoch: 257, iters: 102800, time: 692.779) l1_x8: 12.345
(epoch: 258, iters: 103200, time: 693.120) l1_x8: 12.364
(epoch: 259, iters: 103600, time: 692.366) l1_x8: 12.366
(epoch: 260, iters: 104000, time: 692.900) l1_x8: 12.349
(epoch: 261, iters: 104400, time: 692.652) l1_x8: 12.349
(epoch: 262, iters: 104800, time: 692.877) l1_x8: 12.353
(epoch: 263, iters: 105200, time: 692.988) l1_x8: 12.338
(epoch: 264, iters: 105600, time: 693.313) l1_x8: 12.290
(epoch: 265, iters: 106000, time: 705.253) l1_x8: 12.326
(epoch: 266, iters: 106400, time: 693.640) l1_x8: 12.335
(epoch: 267, iters: 106800, time: 692.519) l1_x8: 12.336
(epoch: 268, iters: 107200, time: 693.516) l1_x8: 12.280
(epoch: 269, iters: 107600, time: 692.125) l1_x8: 12.283
(epoch: 270, iters: 108000, time: 692.420) l1_x8: 12.260
(epoch: 271, iters: 108400, time: 692.636) l1_x8: 12.272
(epoch: 272, iters: 108800, time: 692.619) l1_x8: 12.321
(epoch: 273, iters: 109200, time: 693.880) l1_x8: 12.260
(epoch: 274, iters: 109600, time: 692.793) l1_x8: 12.251
(epoch: 275, iters: 110000, time: 692.595) l1_x8: 12.290
(epoch: 276, iters: 110400, time: 692.885) l1_x8: 12.235
(epoch: 277, iters: 110800, time: 692.346) l1_x8: 12.224
(epoch: 278, iters: 111200, time: 692.256) l1_x8: 12.265
(epoch: 279, iters: 111600, time: 692.548) l1_x8: 12.235
(epoch: 280, iters: 112000, time: 692.479) l1_x8: 12.192
(epoch: 281, iters: 112400, time: 692.286) l1_x8: 12.212
(epoch: 282, iters: 112800, time: 692.459) l1_x8: 12.219
(epoch: 283, iters: 113200, time: 692.490) l1_x8: 12.205
(epoch: 284, iters: 113600, time: 692.663) l1_x8: 12.249
(epoch: 285, iters: 114000, time: 692.594) l1_x8: 12.235
(epoch: 286, iters: 114400, time: 692.180) l1_x8: 12.155
(epoch: 287, iters: 114800, time: 692.188) l1_x8: 12.149
(epoch: 288, iters: 115200, time: 692.545) l1_x8: 12.185
(epoch: 289, iters: 115600, time: 692.169) l1_x8: 12.158
(epoch: 290, iters: 116000, time: 692.167) l1_x8: 12.195
(epoch: 291, iters: 116400, time: 692.306) l1_x8: 12.151
(epoch: 292, iters: 116800, time: 692.211) l1_x8: 12.175
(epoch: 293, iters: 117200, time: 692.084) l1_x8: 12.178
(epoch: 294, iters: 117600, time: 692.675) l1_x8: 12.125
(epoch: 295, iters: 118000, time: 692.457) l1_x8: 12.142
(epoch: 296, iters: 118400, time: 692.639) l1_x8: 12.174
(epoch: 297, iters: 118800, time: 692.260) l1_x8: 12.099
(epoch: 298, iters: 119200, time: 692.265) l1_x8: 12.153
(epoch: 299, iters: 119600, time: 692.265) l1_x8: 12.157
(epoch: 300, iters: 120000, time: 692.832) l1_x8: 12.172
