(epoch: 251, iters: 100400, time: 69.322) l1_x4: 18.977
(epoch: 252, iters: 100800, time: 71.096) l1_x4: 18.782
(epoch: 253, iters: 101200, time: 71.794) l1_x4: 18.642
(epoch: 254, iters: 101600, time: 71.763) l1_x4: 18.551
(epoch: 255, iters: 102000, time: 71.765) l1_x4: 18.453
(epoch: 256, iters: 102400, time: 71.694) l1_x4: 18.394
(epoch: 257, iters: 102800, time: 71.931) l1_x4: 18.299
(epoch: 258, iters: 103200, time: 71.648) l1_x4: 18.253
(epoch: 259, iters: 103600, time: 71.806) l1_x4: 18.150
(epoch: 260, iters: 104000, time: 71.691) l1_x4: 18.071
(epoch: 261, iters: 104400, time: 71.999) l1_x4: 18.091
(epoch: 262, iters: 104800, time: 71.959) l1_x4: 18.021
(epoch: 263, iters: 105200, time: 72.004) l1_x4: 17.968
(epoch: 264, iters: 105600, time: 71.891) l1_x4: 17.955
(epoch: 265, iters: 106000, time: 71.753) l1_x4: 17.901
(epoch: 266, iters: 106400, time: 71.778) l1_x4: 17.802
(epoch: 267, iters: 106800, time: 71.699) l1_x4: 17.799
(epoch: 268, iters: 107200, time: 71.754) l1_x4: 17.765
(epoch: 269, iters: 107600, time: 71.751) l1_x4: 17.742
(epoch: 270, iters: 108000, time: 72.961) l1_x4: 17.687
(epoch: 271, iters: 108400, time: 71.813) l1_x4: 17.632
(epoch: 272, iters: 108800, time: 72.070) l1_x4: 17.533
(epoch: 273, iters: 109200, time: 71.968) l1_x4: 17.524
(epoch: 274, iters: 109600, time: 71.949) l1_x4: 17.489
(epoch: 275, iters: 110000, time: 72.043) l1_x4: 17.470
(epoch: 276, iters: 110400, time: 72.076) l1_x4: 17.469
(epoch: 277, iters: 110800, time: 71.872) l1_x4: 17.408
(epoch: 278, iters: 111200, time: 72.099) l1_x4: 17.323
(epoch: 279, iters: 111600, time: 71.978) l1_x4: 17.324
(epoch: 280, iters: 112000, time: 72.107) l1_x4: 17.315
(epoch: 281, iters: 112400, time: 72.138) l1_x4: 17.264
(epoch: 282, iters: 112800, time: 72.256) l1_x4: 17.241
(epoch: 283, iters: 113200, time: 72.170) l1_x4: 17.238
(epoch: 284, iters: 113600, time: 72.183) l1_x4: 17.139
(epoch: 285, iters: 114000, time: 72.187) l1_x4: 17.190
(epoch: 286, iters: 114400, time: 72.293) l1_x4: 17.143
(epoch: 287, iters: 114800, time: 72.493) l1_x4: 17.150
(epoch: 288, iters: 115200, time: 72.209) l1_x4: 17.116
(epoch: 289, iters: 115600, time: 71.850) l1_x4: 17.045
(epoch: 290, iters: 116000, time: 72.039) l1_x4: 17.007
(epoch: 291, iters: 116400, time: 72.153) l1_x4: 16.999
(epoch: 292, iters: 116800, time: 72.098) l1_x4: 16.940
(epoch: 293, iters: 117200, time: 72.033) l1_x4: 16.970
(epoch: 294, iters: 117600, time: 71.866) l1_x4: 16.907
(epoch: 295, iters: 118000, time: 73.523) l1_x4: 16.919
(epoch: 296, iters: 118400, time: 73.488) l1_x4: 16.848
(epoch: 297, iters: 118800, time: 74.530) l1_x4: 16.856
(epoch: 298, iters: 119200, time: 73.172) l1_x4: 16.848
(epoch: 299, iters: 119600, time: 72.990) l1_x4: 16.795
(epoch: 300, iters: 120000, time: 72.928) l1_x4: 16.822
