(epoch: 251, iters: 100400, time: 439.656) l1_x8: 9.939
(epoch: 252, iters: 100800, time: 444.800) l1_x8: 9.807
(epoch: 253, iters: 101200, time: 444.667) l1_x8: 9.802
(epoch: 254, iters: 101600, time: 444.510) l1_x8: 9.770
(epoch: 255, iters: 102000, time: 444.751) l1_x8: 9.716
(epoch: 256, iters: 102400, time: 445.504) l1_x8: 9.653
(epoch: 257, iters: 102800, time: 444.316) l1_x8: 9.603
(epoch: 258, iters: 103200, time: 444.998) l1_x8: 9.571
(epoch: 259, iters: 103600, time: 445.184) l1_x8: 9.580
(epoch: 260, iters: 104000, time: 444.919) l1_x8: 9.537
(epoch: 261, iters: 104400, time: 444.539) l1_x8: 9.474
(epoch: 262, iters: 104800, time: 444.375) l1_x8: 9.452
(epoch: 263, iters: 105200, time: 444.817) l1_x8: 9.436
(epoch: 264, iters: 105600, time: 444.610) l1_x8: 9.419
(epoch: 265, iters: 106000, time: 445.158) l1_x8: 9.374
(epoch: 266, iters: 106400, time: 444.747) l1_x8: 9.363
(epoch: 267, iters: 106800, time: 445.067) l1_x8: 9.344
(epoch: 268, iters: 107200, time: 444.782) l1_x8: 9.317
(epoch: 269, iters: 107600, time: 444.735) l1_x8: 9.288
(epoch: 270, iters: 108000, time: 444.613) l1_x8: 9.274
(epoch: 271, iters: 108400, time: 444.567) l1_x8: 9.259
(epoch: 272, iters: 108800, time: 444.592) l1_x8: 9.241
(epoch: 273, iters: 109200, time: 444.552) l1_x8: 9.219
(epoch: 274, iters: 109600, time: 443.819) l1_x8: 9.215
(epoch: 275, iters: 110000, time: 444.322) l1_x8: 9.187
(epoch: 276, iters: 110400, time: 444.599) l1_x8: 9.175
(epoch: 277, iters: 110800, time: 444.875) l1_x8: 9.165
(epoch: 278, iters: 111200, time: 444.816) l1_x8: 9.131
(epoch: 279, iters: 111600, time: 445.398) l1_x8: 9.137
(epoch: 280, iters: 112000, time: 444.933) l1_x8: 9.105
(epoch: 281, iters: 112400, time: 445.722) l1_x8: 9.090
(epoch: 282, iters: 112800, time: 445.485) l1_x8: 9.091
(epoch: 283, iters: 113200, time: 444.546) l1_x8: 9.059
(epoch: 284, iters: 113600, time: 444.597) l1_x8: 9.044
(epoch: 285, iters: 114000, time: 444.734) l1_x8: 9.029
(epoch: 286, iters: 114400, time: 445.633) l1_x8: 9.015
(epoch: 287, iters: 114800, time: 445.504) l1_x8: 9.000
(epoch: 288, iters: 115200, time: 445.252) l1_x8: 8.987
(epoch: 289, iters: 115600, time: 445.185) l1_x8: 8.984
(epoch: 290, iters: 116000, time: 444.736) l1_x8: 8.976
(epoch: 291, iters: 116400, time: 445.469) l1_x8: 8.960
(epoch: 292, iters: 116800, time: 445.344) l1_x8: 8.932
(epoch: 293, iters: 117200, time: 445.013) l1_x8: 8.919
(epoch: 294, iters: 117600, time: 445.338) l1_x8: 8.918
(epoch: 295, iters: 118000, time: 445.709) l1_x8: 8.915
(epoch: 296, iters: 118400, time: 445.624) l1_x8: 8.905
(epoch: 297, iters: 118800, time: 446.761) l1_x8: 8.866
(epoch: 298, iters: 119200, time: 445.479) l1_x8: 8.882
(epoch: 299, iters: 119600, time: 444.947) l1_x8: 8.862
(epoch: 300, iters: 120000, time: 445.301) l1_x8: 8.840
